delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
397203,281433,121382,22862,54474,57822,39345,36883,79931,37562,6651,5173,780,4215,2530,1825,0
1323767,126980,18612,14687,23392,36294,23320,12975,26305,9209,1743,5718,4093,6154,9937,3226,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,39206,12361,19396,19395,46440,18226,27536,0
1003180,139383,39269,13101,10013,56719,44774,18794,6298,4927,1165,3258,2336,6292,11031,8322,1
794706,187993,28466,15370,16561,20351,12670,10490,119036,48231,2126,6184,2160,4217,4096,1915,1
1282056,405072,194155,68885,21570,65712,37043,47422,162474,30103,5635,2394,2148,9773,7810,9108,0
1293589,242673,106472,55914,27376,35133,38577,20191,68164,63085,999,5545,7076,3727,3578,5831,1
1208263,402176,62178,34507,32619,62219,169192,43622,128805,22008,3246,5160,1162,5016,3921,1297,1
2058093,446773,102354,18826,57700,74984,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
1317516,94444,80112,10581,27651,17899,22644,17708,23559,17820,8102,3957,2206,2909,1751,1371,1
1663993,1292544,315067,78663,72248,132322,82378,129020,149039,47003,6936,4234,1190,3521,3392,1616,0
2274756,539508,268209,97656,55016,157673,117029,75754,382587,81966,20415,27011,14572,8738,9953,11510,1
1521903,542967,84107,140096,91465,114290,72660,92489,191856,33090,14378,3615,5992,11372,14296,1989,0
2294070,929054,70038,36211,32713,164231,86897,25657,148318,18837,9732,1659,763,10054,9057,3510,0
3242523,269657,29127,14254,54061,100945,116580,43849,82632,20456,3853,2397,2554,7205,3258,1320,0
2822957,273811,106518,73661,52359,47706,69212,81303,583564,33804,20668,10994,6813,15662,7427,9000,0
1615663,138840,18664,42533,28254,53232,44187,40576,2002,12433,5735,5489,1380,15813,7779,11202,1
1008209,190970,96305,8951,12634,22400,11963,14698,151318,18307,1618,1370,3639,3193,2333,978,0
2442935,601102,148533,56892,83746,162752,79803,88294,543300,79642,11535,13762,20962,23686,16446,4974,1
1088618,392634,15988,12792,26068,140008,59207,28601,63817,12711,1215,2138,5106,6881,4756,2606,1
2241701,725591,70392,39333,65045,96777,76410,60932,497478,4338,3126,3309,6093,6843,4264,1769,0
1074987,155582,33479,28136,47694,41155,42050,23447,131421,41657,1365,2647,2807,4001,4073,6928,1
1820337,532601,166326,28207,113201,42733,34964,26138,393484,34385,1375,5836,8789,7100,12353,8337,0
1145378,259655,49306,12699,12425,28867,50269,20557,428554,123906,10546,5684,9500,22394,20254,5097,1
2010144,281942,174813,108190,15888,58943,92361,23954,128634,55761,28491,14095,8362,14049,15951,6363,1
1676518,158940,105719,93126,10629,83202,58034,65777,84142,26075,6400,882,2184,3728,5059,1807,1
95596,12194,8954,33716,53520,33560,18831,13945,4877,3893,2452,5579,2946,6113,5880,4290,1
2469685,220881,37244,35820,77839,42601,54582,26644,190839,30085,17146,11922,17009,10791,17412,6608,1
1286550,230293,13509,31626,58715,65671,47640,27204,50643,30473,7149,2012,1376,4710,1909,1572,0
1633334,647127,85542,50297,56650,104542,115855,50963,102412,30472,7740,15325,19310,37482,35090,23071,1
1290456,224874,22169,26549,29126,62550,48037,32502,7239,7896,6544,6919,11031,29012,30413,17591,1
798615,72482,37131,6101,15738,20140,23842,13504,65927,9531,902,2098,2835,5030,5745,4394,0
1526344,278203,41862,27263,41701,37603,38735,18306,67492,15089,2657,668,1639,3588,2016,1520,0
1556926,267669,154490,84733,43958,84831,150618,89549,159239,28330,5322,8155,2493,7908,8902,5716,1
1187722,91000,46875,8549,33356,68575,33261,19718,72207,2281,2365,2303,2580,5509,4077,2691,0
2855119,184055,42015,32081,19270,37954,66340,45003,119599,34077,17279,3440,4437,10105,3470,2626,0
1576177,259827,58567,45576,35160,44627,29160,31556,21006,37711,6203,12150,9704,22709,13575,9795,1
2317883,664392,103445,65312,40401,103274,57263,50341,116840,22991,5282,5031,3510,3995,1846,1500,1
718724,144453,50129,116609,26985,53028,81014,48413,67843,23514,2925,4081,8198,4909,13633,5203,0
570536,151284,17519,38269,21088,65826,42476,30358,150547,45684,643,5369,6628,15433,12216,8628,0
1120159,700420,32712,13530,44359,80262,73947,38457,16798,20150,8519,4263,5207,5969,1739,1901,1
1067448,202664,24477,29528,22291,61646,42631,35079,205109,13468,3599,2848,1218,4472,3234,2107,0
611581,85561,24503,14701,19326,22044,12051,10914,43090,20429,1480,722,990,4646,1718,1368,1
1003707,153630,34224,32549,24816,18895,14619,15723,270813,26522,9546,5705,1771,9583,8182,1998,0
768769,116245,52770,25149,20072,20726,16551,17943,191534,24281,4943,3357,2761,2127,1493,841,1
1572596,582886,51524,19970,36791,96112,60427,44959,245790,21560,1491,3366,2841,3667,658,833,1
2608738,126730,55474,99540,19833,56321,22917,34717,586423,15643,4463,1109,2995,10829,7131,2459,0
1516032,423600,31756,15229,8226,30781,54038,86518,162716,24945,4236,2300,2666,4747,3716,2628,0
1225580,158840,148297,16396,6726,48723,55419,14444,27613,18385,3535,2246,2259,2223,1992,1136,1
744495,261905,39121,42641,40520,76395,68476,25158,110606,100313,14345,3332,11603,24382,14479,9773,0
1266345,167535,28398,26563,26695,80210,50835,68913,242575,84763,2358,3683,9924,13316,8060,6614,0
1627457,140970,26062,27994,12868,45817,27836,37458,168792,54366,17433,12097,7596,8188,6750,5865,0
516088,198754,8312,28605,13419,56457,31944,29506,124801,44495,3546,3429,1348,12230,8192,5783,0
1870505,169980,18856,24573,40216,85348,39078,27508,294393,11092,7930,932,8215,7801,5730,5670,1
842330,21515,5821,18037,18516,75918,56224,23330,20645,12615,3242,6669,2221,10760,6222,4165,0
1713407,293672,312474,39001,45975,58703,40449,54911,100805,16483,650,534,1935,2236,2114,2379,1
1695007,124524,36917,47028,48290,31378,43835,35059,51968,5894,3608,1077,911,6393,1770,2034,0
937294,110665,99107,72632,74578,64168,72674,59394,177646,16458,11001,5857,5268,13311,7379,5267,0
1813156,280454,104681,96573,37314,66659,105868,45244,190810,28616,9773,4839,5387,7713,6227,6413,1
436933,65835,6254,12535,17033,58115,33536,7974,153876,26556,3498,1462,1147,5072,3541,4089,1
1550740,268563,101155,26690,29505,46291,28195,20618,8813,14729,1995,6294,6682,7724,11259,4129,1
525355,150758,27524,26630,27300,24634,36640,18647,5648,12925,1420,810,2640,7582,2949,3690,0
142325,115266,13752,9037,8736,20247,66758,18548,52032,12414,3957,1748,4200,3797,2170,2789,0
1545763,430844,29342,28345,47235,36755,44496,18438,7799,12227,5568,5301,815,3408,2061,5579,1
790460,324862,182228,28877,52134,59194,63313,48557,422416,67838,20646,7881,17587,28655,18017,11360,1
1291287,419848,84807,21228,12582,47497,31405,20749,25695,14687,3670,3144,4603,7037,8769,5510,0
155954,46742,34376,30833,45775,40700,43295,18126,56424,12330,3872,2202,2429,1146,817,1087,0
1766916,233202,61933,27232,33495,46534,42503,28224,5159,11381,2958,7139,1313,6732,4310,7605,0
1161737,219844,33596,15687,42020,31112,26276,61549,16222,11462,1960,4736,3430,4598,3488,4091,0
923725,98455,31668,8516,19699,60009,20448,28091,81396,14386,5132,4710,2490,3637,883,1210,0
542326,60195,18846,10641,20632,58627,32870,16092,108213,4273,1403,2593,2049,7543,2858,3142,1
527227,150111,24560,12838,15336,11259,8858,5965,133233,15941,2458,2857,2276,1176,525,1117,1
83153,60788,12987,19193,39275,41896,14944,23704,4733,8792,1811,5295,3408,14100,6648,2478,1
110743,51803,6421,3044,9960,9562,6741,6557,40299,9222,2122,565,2091,4187,4417,2808,1
491037,60518,38222,22780,18132,23136,13265,10745,23654,17405,10163,5741,1924,12925,2325,3010,1
155013,36502,17680,18039,10946,44540,37430,16623,1349,3489,1699,4413,4064,12684,2554,2264,0
199785,76594,18863,8499,15476,31798,37576,14788,25351,7429,1335,475,1871,2326,1373,1242,1
663727,86074,28564,25879,14035,34129,31640,11502,5698,11160,3755,1152,2847,4663,4361,4524,1
1895072,400129,45081,38687,61970,34961,39507,32440,14488,10329,7769,2683,6829,7045,3661,3477,1
174636,27995,6983,10341,28379,10268,13336,6487,2592,4829,2235,1324,2179,855,1034,469,1
256100,213355,20280,20781,25616,31055,37165,17251,48108,9185,1472,993,4632,2619,1029,944,1
674188,209430,33769,21643,29354,50288,54244,19396,28751,19166,2211,8070,10605,13670,13197,11144,1
228932,93698,15045,11914,23989,16610,14245,21080,14316,17802,8270,1152,2750,6256,2179,1767,0
793841,253857,41393,37379,79462,42244,39778,33340,103891,10824,4918,2067,2055,4512,6888,4197,1
214949,47303,23309,42746,19682,22091,10428,12332,25870,8059,3660,3979,4581,2352,4368,1837,0
675370,91681,22072,14010,6343,15778,5585,4190,68129,2956,1541,5074,4290,2027,1285,520,0
1003522,229328,51888,26744,28132,45867,31678,15961,97343,28694,6793,11464,7767,5245,11053,3225,1
622039,97407,7141,25834,19949,12954,19804,8561,35968,3491,685,2296,354,2225,1639,1231,1
1045065,34097,9841,16997,23999,12236,17801,6934,5166,9256,1241,1752,7338,4209,1850,1637,1
551469,99488,49242,14876,5718,41956,26217,13788,44282,27601,9916,2665,3271,7416,5832,5386,0
1507931,377187,48701,81519,33101,61217,45077,15924,702499,86379,2626,10147,14422,19258,11812,6957,1
2640395,772823,39587,33169,25257,44096,31128,31786,12021,10002,10553,2901,21720,11373,2857,4714,1
1282122,250358,45216,22707,45591,68178,20483,15525,39901,5187,5033,3366,4409,5811,2312,6165,0
273226,51992,16908,21678,39613,59078,30809,26847,3492,7648,2668,3192,4169,25220,21670,8960,0
681767,288798,34622,28786,30479,60877,29658,24470,126852,28461,7096,10555,9906,9730,10581,6726,0
693606,802032,50057,176628,59859,134007,65287,42905,263910,47903,5148,3787,4061,9984,7759,7580,0
3109403,278373,65200,191651,63627,51566,46877,29872,113490,58981,6924,4542,8939,15944,3458,5333,1
896102,103115,30707,33950,13414,25564,41046,30021,12285,7696,4065,2303,4711,13964,6810,3758,0
945638,204273,25373,35144,54300,56042,80699,45747,51463,19722,5660,8589,10112,29481,25148,14384,0
1450041,346459,84388,63069,32664,44558,54673,25454,663143,54003,4748,11675,1778,22431,11180,11408,1
2242841,232494,61544,43927,41857,71499,70171,61285,259068,45686,5108,2378,2590,12080,5562,3946,0
1615463,315030,167320,27438,53286,59797,53769,40271,290793,6451,2030,2398,5440,11097,7443,4289,1
628003,780090,73694,33137,29712,54880,47899,33422,59211,14577,2920,2817,2605,3320,2171,1542,1
1457169,159411,43274,57576,20544,100715,43023,48863,166502,12522,1149,896,1680,7941,1710,1034,1
1511140,188323,78370,24318,30642,42858,28770,11810,236160,24813,12767,16170,7833,12150,6609,5162,1
621771,417535,38909,31062,85459,99022,101346,34400,78697,53588,2789,1522,7139,14508,9204,8859,0
886819,202276,93375,185645,71310,58357,51577,35575,40220,11915,5748,6683,2070,13543,17387,5199,0
467854,164916,32927,18721,39139,58823,60111,45331,26334,26202,2463,1693,721,3604,1690,2209,0
154708,90017,9016,4917,7439,7362,14479,4301,69287,4162,1194,932,1307,2950,1772,2020,1
231727,44862,18676,17244,36191,32299,60891,46314,9777,8047,3161,2376,832,3093,1616,1375,0
1240897,141893,28329,14279,35679,68294,44408,38858,92264,52240,1792,5434,9825,15349,8226,4876,0
1674310,227852,12729,4943,6899,36415,14272,8857,54923,10987,533,1421,1858,3902,2811,1881,1
1243920,177421,29244,23183,14108,50526,79280,35620,69312,25070,2177,4197,3195,10724,3707,4404,1
1123749,110211,89588,31146,51212,47299,91259,25391,149395,33077,6473,3241,1360,7429,6994,4104,0
1635314,331508,140074,70041,38482,83241,90006,41060,111270,17543,4522,4603,3986,14167,14594,4226,1
1491205,426494,29883,29825,38647,65090,81090,38326,64978,20350,4624,2276,2473,6462,4093,1753,1
1653987,364177,62983,32540,54540,121485,83874,52342,207857,83665,41687,11853,11031,7006,5728,6519,1
1853995,324198,90081,73178,50670,83887,51888,33206,57220,4424,7955,13290,13542,44831,30449,18683,0
2428398,466195,89981,67856,86921,102663,112130,41242,218952,95738,9725,17668,8549,29694,20756,6245,0
1893022,525629,130708,99896,44116,127153,53107,62281,41606,41435,4082,5314,2161,7481,3595,2286,0
