delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
218581,189830,29588,31897,12782,36886,36672,7915,-215085,-188454,-27927,-28982,-11243,-32668,-35195,-4972,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,618285,-102669,-21546,-17113,160,-27907,-24571,-2596,-110081,-156547,-20264,-20575,-7284,-26808,-30650,-2129,easy
443319,53498,15431,9486,9241,16912,9241,7733,-168164,3444,-8533,889,5978,-2090,1576,-765,44854,70315,-8182,7316,592,-8608,-3325,-2122,354224,-8344,-10157,-5845,-4889,-11530,-3271,-5989,926563,285789,10613,72888,15326,256,24824,6622,-362875,-17496,12244,-1152,-4134,-10990,-1819,-6733,difficult
174206,76255,3257,11416,18149,11591,15600,9744,2000048,371572,26182,5659,2814,-1483,-979,-3983,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,404817,-48120,13826,-8302,-15283,-7084,-12281,-7065,-135392,-41445,12656,1491,-4485,-1076,-7353,-5316,easy
288903,134740,12633,12553,18116,13202,7777,9965,-257256,-88694,7832,-2999,-14873,-11286,-6295,-9070,-287675,-129550,-11200,-11223,-16794,-11377,-6826,-9349,-277576,-96380,-5168,-8396,-14618,-5699,-1883,-4737,-153268,-100881,-783,-7704,-15824,-11596,-6506,-9444,1264031,-31868,25994,-7268,-8654,11771,9970,1066,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,-68552,-16296,-4747,-2255,-1503,-757,-1417,-567,-103286,-18487,2499,2664,197,3143,1840,2811,easy
331463,28161,11812,8410,4593,4191,1093,1094,-211005,60974,11566,9097,15166,10406,12361,10838,-91294,82687,16079,4845,23,1133,1978,1427,632732,20138,3773,915,-1885,108,-418,1403,-206453,24710,-9922,-1456,-2621,-2192,1539,224,45038,85694,7574,9147,5758,5043,10747,3854,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-14473,-8766,-5942,-1181,-2761,-423,4147,-1756,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,-1579,-886,10354,2137,-5799,-5023,-2398,-3836,118714,-7330,-77,4478,-639,-5243,-2036,-3990,easy
576456,95797,31271,8293,7649,12428,7730,4291,131664,-80726,-11920,-4285,-2870,-2971,-2562,7408,-568296,-61941,-24600,-3435,-6050,-8003,-3914,-3085,-359976,-38628,14848,3322,7708,-862,5067,-1217,-510533,-89576,-28968,-6833,-7100,-11752,-6948,-4098,-569981,-79850,-20875,-3434,416,-8472,-6325,-1312,difficult
354644,44968,17083,16743,16568,13469,7211,5812,1997563,370712,212096,216969,67594,69939,13840,51178,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,-317563,-35737,-15838,-13658,-10784,-11652,-6876,-5237,-328453,39150,7876,-5893,4526,-3028,907,4269,easy
436042,54044,11560,9511,7062,6489,5134,2930,322535,135606,-2804,3439,3452,2413,-794,-1256,-425973,-41909,-4950,3862,-1677,-2742,-2088,-1035,-414809,-35166,4105,-3290,-1470,-4836,-3388,-1799,-358701,-29194,-9866,-9207,-5513,-4295,-3978,-2106,-225744,-43213,-5915,-6632,-3067,-4529,-4448,-2337,difficult
184811,10538,8855,4132,8639,4203,4141,3255,-56834,14799,967,7104,25097,15398,7378,255,-171440,1325,-6999,1888,-6474,-1312,-2259,-2647,-182224,-5522,-5527,-1974,-710,627,2697,2510,-129884,11089,-2438,600,-6214,-1397,-2459,-1020,64865,43876,4161,6941,-4911,-1072,-266,-1470,easy
58096,14994,6911,3843,2045,1785,715,865,55695,27876,2706,4280,5431,8297,9689,3724,1636917,1247383,57704,89347,113613,173373,103653,45705,911549,766472,108255,33734,34233,38397,7121,27281,48430,47328,-3116,-2432,-1513,491,-356,-175,2465495,682046,49053,35928,48667,49729,23543,26700,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-35296,-34008,-7435,-5001,-2403,354,-1227,-2198,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,-73229,-42218,-7247,-6487,-4960,-4436,-2455,-2566,-82801,-38715,-7870,-4702,-4068,-3813,-1540,-1106,easy
86274,23697,4428,11533,3281,4695,3479,1170,80806,6291,978,-9416,1075,4065,-105,4020,-70428,-12502,-1456,-2558,-276,-1712,-1256,-115,-73030,-10899,5767,17865,-270,-1085,608,510,258715,-4429,795,-2443,26119,850,6455,1566,-43988,22130,1559,-9417,-2054,-1946,-1729,-256,difficult
58727,37485,3763,6551,1829,3229,3275,1727,1683078,393823,17284,-1735,17440,3206,-1850,4906,-10338,-33543,-3469,-5338,-1510,-2628,-3114,-1626,59955,70575,-1205,2145,6557,19232,-1236,3248,-20542,-22948,-483,-4546,-329,-1819,-2248,-460,-54305,-23881,3563,212,6537,2563,2171,7705,easy
37870,10506,15922,12231,5580,9956,7622,4670,-13737,-2415,-6542,-3455,161,2099,270,-939,454662,62288,82173,3814,12697,17216,26315,12896,437962,12813,-7076,-9956,39,-4466,-5318,-1370,-25532,-6768,-9277,-10066,-558,-8441,-5972,-2432,22378,2998,-4891,-2278,12495,1993,10582,6170,difficult
486885,72654,14741,7983,3344,6233,9418,4570,-355747,-26872,5917,5857,-430,-3003,-5284,-2607,-298845,134790,44604,10,1897,10109,675,902,-158891,-49176,-9661,-5421,-2433,-5271,-7614,-3788,329482,48461,27851,7792,35609,61990,32727,8872,-396452,21542,8346,5149,1638,731,-4831,-1650,easy
58600,32291,7661,9170,12842,3283,3133,3959,-18701,-15310,-4304,-5361,-10736,-2010,-1095,-2370,-15212,1560,4790,-7941,-12077,-1631,-1379,-2720,-44887,-27875,-2130,-6344,-11459,4122,70,-859,-5727,-1668,-1070,-5814,-10082,-242,-2503,-3226,-19930,250,16193,-4496,-11824,-2229,-196,-2738,difficult
295879,40036,3930,8844,2720,4034,6942,3075,-291140,-30693,5905,-1959,5269,8565,-800,639,212633,-20170,29558,17599,2319,7444,1001,5598,-181781,-2257,-844,-7876,6999,3445,-3838,771,-217854,-32729,-2494,-2074,989,-2300,-5280,918,-106437,106667,-2713,21039,29661,36345,10231,10789,easy
50879,27440,5880,12461,5074,7298,8522,3561,-37477,-21435,-5009,-5486,1176,-1890,-1396,1322,-6319,2800,2398,-5957,1837,73,-2573,723,-47594,-21325,476,-3696,638,-2930,-1808,327,-47688,-25019,-2469,-10278,-4262,-6554,-7425,-2758,117012,34221,17874,-8036,371,-3075,-4677,-723,difficult
104020,25454,1183,8937,10322,3381,4451,7839,-42230,-8940,4673,-8262,-9657,-2925,-4206,-7219,-55918,-19674,2392,-5909,-8828,-2376,-3755,-6815,728678,48412,80793,134217,90328,26150,53872,11411,82574,-7302,14609,-6868,-5666,3097,823,-4578,-34000,18077,19594,9810,-6378,5017,6856,-6045,easy
210758,43463,13618,11684,4803,4513,2739,2636,333878,19032,1249,11308,7505,6742,3169,3445,-183374,-34361,-2993,3508,10818,472,6015,4036,-110557,-25340,-10726,-9892,-392,-1153,-1068,-1869,-151715,-23793,-5387,-6926,-3227,-1846,-339,-2176,-123927,35476,5284,-3317,11329,1649,8489,3064,difficult
96708,27468,6746,19243,7157,5900,4706,3692,52161,-20648,-3287,-12997,-4020,-1685,-2387,2652,115967,60406,6312,-10592,1052,-25,-919,-1838,450181,16469,2372,-4067,-54,2651,7045,3417,532631,149233,-2780,-7415,3861,11541,10930,-94,-89538,-16544,-255,-14196,1149,23179,9120,2868,easy
172075,44530,7101,3045,9703,9568,7759,4173,-169135,-26042,-2880,5370,-2208,4507,4383,4297,-110921,-21932,1573,9508,-8571,-6403,-5569,-2578,-124473,-33092,-4919,-435,-7868,-6684,-5624,-2897,-136962,-27879,-1652,-1434,-9395,-6921,-6586,-2011,-77723,-35977,-6298,-233,-8293,-5975,-6914,-2731,difficult
